Ex/EFF DATE,TYPE,CASH AMOUNT,DECLARATION DATE,RECORD DATE,PAYMENT DATE
03/03/23,CASH,$0.34,02/09/23,03/06/23,04/03/23
12/02/22,CASH,$0.34,11/15/2022,12/05/22,12/28/2022
09/02/22,CASH,$0.31,08/04/22,09/06/22,10/03/22
06/03/22,CASH,$0.31,05/05/22,06/06/22,07/01/22
03/04/22,CASH,$0.31,02/10/22,03/07/22,04/01/22
12/03/21,CASH,$0.31,11/18/2021,12/06/21,12/28/2021
08/27/2021,CASH,$0.28,08/05/21,08/30/2021,10/01/21
05/28/2021,CASH,$0.28,05/06/21,06/01/21,07/01/21
02/26/2021,CASH,$0.28,02/11/21,03/01/21,04/01/21
12/04/20,CASH,$0.28,11/20/2020,12/07/20,12/29/2020
08/28/2020,CASH,$0.25,08/06/20,08/31/2020,10/01/20
05/29/2020,CASH,$0.25,05/07/20,06/01/20,07/01/20
02/28/2020,CASH,$0.25,02/13/2020,03/02/20,04/01/20
11/29/2019,CASH,$0.25,11/15/2019,12/02/19,01/02/20
08/30/2019,CASH,$0.22,08/09/19,09/03/19,09/30/2019
05/31/2019,CASH,$0.22,05/10/19,06/03/19,07/01/19
03/01/19,CASH,$0.22,02/15/2019,03/04/19,04/01/19
11/30/2018,CASH,$0.22,11/16/2018,12/03/18,01/02/19
08/31/2018,CASH,$0.20,08/10/18,09/04/18,10/01/18
06/01/18,CASH,$0.20,05/10/18,06/04/18,07/05/18
03/02/18,CASH,$0.20,02/15/2018,03/05/18,04/02/18
12/01/17,CASH,$0.20,11/16/2017,12/04/17,01/02/18
08/31/2017,CASH,$0.18,08/10/17,09/05/17,10/02/17
06/01/17,CASH,$0.18,05/11/17,06/05/17,07/05/17
03/02/17,CASH,$0.18,02/16/2017,03/06/17,04/03/17
12/01/16,CASH,$0.18,11/17/2016,12/05/16,01/03/17
09/01/16,CASH,$0.16,08/11/16,09/06/16,10/03/16
06/02/16,CASH,$0.16,05/13/2016,06/06/16,07/05/16
03/03/16,CASH,$0.16,02/11/16,03/07/16,04/04/16
